query,expected,splits
What is the cost breakdown for subsystem 17?,"Water Supply - Block E cost breakdown is labor 10785.89, material 14188.21, and equipment 9377.03.","[""base""]"
What is the cost breakdown for subsystem 42?,"Mechanical Systems - Podium cost breakdown is labor 33899.42, material 32670.7, and equipment 11327.86.","[""base""]"
What is the cost breakdown for subsystem 9?,"Concrete Works - Tower A cost breakdown is labor 5998.07, material 4615.69, and equipment 3843.77.","[""base""]"
What is the cost breakdown for subsystem 55?,"Plumbing - South Wing cost breakdown is labor 5983.02, material 5155.08, and equipment 3307.2.","[""base""]"
What is the cost breakdown for subsystem 63?,"Telecommunications - West Annex cost breakdown is labor 75157.21, material 68953.1, and equipment 33205.73.","[""base""]"
Show labor cost for subsystem 42.,"Mechanical Systems - Podium cost breakdown is labor 33899.42, material 32670.7, and equipment 11327.86.","[""base""]"
Show labor cost for subsystem 4.,"Landscaping - South Wing cost breakdown is labor 44955.24, material 17194.34, and equipment 7133.54.","[""base""]"
Show labor cost for subsystem 56.,"Parking - West Annex cost breakdown is labor 333390.41, material 102383.29, and equipment 42981.7.","[""base""]"
Show labor cost for subsystem 34.,"Plumbing - Sector 1 cost breakdown is labor 519466.77, material 184521.36, and equipment 135892.98.","[""base""]"
Show labor cost for subsystem 23.,"Telecommunications - Podium cost breakdown is labor 190127.97, material 82380.43, and equipment 34772.54.","[""base""]"
Show material cost for subsystem 5.,"Facade - East Annex cost breakdown is labor 46567.44, material 137799.22, and equipment 18088.49.","[""base""]"
Show material cost for subsystem 14.,"Concrete Works - Zone 7 cost breakdown is labor 35485.56, material 134668.02, and equipment 27189.26.","[""base""]"
Show material cost for subsystem 79.,"Site Development - East Annex cost breakdown is labor 50127.53, material 177527.56, and equipment 46608.06.","[""base""]"
Show material cost for subsystem 53.,"Site Development - Central Plant cost breakdown is labor 68743.77, material 231815.25, and equipment 58163.39.","[""base""]"
Show material cost for subsystem 88.,"Landscaping - Extension cost breakdown is labor 192316.23, material 191519.86, and equipment 132622.48.","[""base""]"
Show equipment cost for subsystem 6.,"Elevators - Tower A cost breakdown is labor 48391.3, material 68567.42, and equipment 154845.43.","[""base""]"
Show equipment cost for subsystem 2.,"Structural Steel - Tower B cost breakdown is labor 160822.07, material 201265.22, and equipment 543532.47.","[""base""]"
Show equipment cost for subsystem 39.,"Roofing - Block D cost breakdown is labor 150436.82, material 120005.77, and equipment 106112.5.","[""base""]"
Show equipment cost for subsystem 64.,"Elevators - East Annex cost breakdown is labor 135986.13, material 144020.64, and equipment 87815.3.","[""base""]"
Show equipment cost for subsystem 18.,"Interior Finishing - Phase 2 cost breakdown is labor 34941.47, material 38462.62, and equipment 143019.88.","[""base""]"
Is subsystem 51 over budget?,Landscaping - Building C is over_budget with a variance of -45695.84 between planned cost 0.0 and actual cost 45695.84.,"[""base""]"
Is subsystem 11 over budget?,Roofing - Basement Level is over_budget with a variance of -27580.72999999998 between planned cost 184337.39 and actual cost 211918.12.,"[""base""]"
Is subsystem 7 over budget?,Roads - Sector 1 is under_budget with a variance of 290000.0 between planned cost 500000.0 and actual cost 210000.0.,"[""base""]"
Is subsystem 33 over budget?,Security - Podium is over_budget with a variance of -9494.150000000023 between planned cost 558784.87 and actual cost 568279.02.,"[""base""]"
