query,expected,dataset_split
What is the cost breakdown for subsystem 42?,"Mechanical Systems - Podium cost breakdown is labor 33899.42, material 32670.7, and equipment 11327.86.","[""base""]"
What is the cost breakdown for subsystem 9?,"Concrete Works - Tower A cost breakdown is labor 5998.07, material 4615.69, and equipment 3843.77.","[""base""]"
What is the cost breakdown for subsystem 55?,"Plumbing - South Wing cost breakdown is labor 5983.02, material 5155.08, and equipment 3307.2.","[""base""]"
What is the cost breakdown for subsystem 63?,"Telecommunications - West Annex cost breakdown is labor 75157.21, material 68953.1, and equipment 33205.73.","[""base""]"
Show labor cost for subsystem 42.,"Mechanical Systems - Podium cost breakdown is labor 33899.42, material 32670.7, and equipment 11327.86.","[""base""]"
Show labor cost for subsystem 4.,"Landscaping - South Wing cost breakdown is labor 44955.24, material 17194.34, and equipment 7133.54.","[""base""]"
Show labor cost for subsystem 56.,"Parking - West Annex cost breakdown is labor 333390.41, material 102383.29, and equipment 42981.7.","[""base""]"
Show labor cost for subsystem 34.,"Plumbing - Sector 1 cost breakdown is labor 519466.77, material 184521.36, and equipment 135892.98.","[""base""]"
Show labor cost for subsystem 23.,"Telecommunications - Podium cost breakdown is labor 190127.97, material 82380.43, and equipment 34772.54.","[""base""]"
Show material cost for subsystem 5.,"Facade - East Annex cost breakdown is labor 46567.44, material 137799.22, and equipment 18088.49.","[""base""]"
Show material cost for subsystem 14.,"Concrete Works - Zone 7 cost breakdown is labor 35485.56, material 134668.02, and equipment 27189.26.","[""base""]"
Show material cost for subsystem 79.,"Site Development - East Annex cost breakdown is labor 50127.53, material 177527.56, and equipment 46608.06.","[""base""]"
Show material cost for subsystem 53.,"Site Development - Central Plant cost breakdown is labor 68743.77, material 231815.25, and equipment 58163.39.","[""base""]"
Show material cost for subsystem 88.,"Landscaping - Extension cost breakdown is labor 192316.23, material 191519.86, and equipment 132622.48.","[""base""]"
Show equipment cost for subsystem 6.,"Elevators - Tower A cost breakdown is labor 48391.3, material 68567.42, and equipment 154845.43.","[""base""]"
